"தொடங்கும் எழுத்து",பெயர்,பொருள்
சா,சால்பன்,
சா,சால்பன்பன்,
சா,சால்பப்பன்,
சா,சால்பமுதன்,
சா,சால்பரசன்,
சா,சால்பரசு,
சா,சால்பறிஞன்,
சா,சால்பழகன்,
சா,சால்பழகு,
சா,சால்பாளன்,
சா,சால்பாழி,
சா,சால்பினியன்,
சா,சால்பின்பன்,
சா,சால்பு,
சா,சால்புக்கிள்ளி,
சா,சால்புக்கிழான்,
சா,சால்புக்கீரன்,
சா,சால்புக்குன்றன்,
சா,சால்புக்குமரன்,
சா,சால்புக்குரிசில்,
சா,சால்புக்கூத்தன்,
சா,சால்புக்கேள்வன்,
சா,சால்புச்சுடர்,
சா,சால்புச்சென்னி,
சா,சால்புச்செம்மல்,
சா,சால்புச்செல்வன்,
சா,சால்புச்செழியன்,
சா,சால்புச்சேந்தன்,
சா,சால்புச்சேய்,
சா,சால்புச்சேரன்,
சா,சால்புச்சோலை,
சா,சால்புச்சோழன்,
சா,சால்புத்தங்கன்,
சா,சால்புத்தென்னன்,
சா,சால்புத்தென்றல்,
சா,சால்புத்தேவன்,
சா,சால்புத்தோன்றல்,
சா,சால்புத்தோழன்,
சா,சால்புநம்பி,
சா,சால்புநெஞ்சன்,
சா,சால்புநேயன்,
சா,சால்புமகன்,
சா,சால்புமணி,
சா,சால்புமதி,
சா,சால்புமருகன்,
சா,சால்புமருதன்,
சா,சால்புமலை,
சா,சால்புமலையன்,
சா,சால்புமார்பன்,
சா,சால்புமாறன்,
சா,சால்புவண்ணன்,
சா,சால்புவளவன்,
சா,சால்புவள்ளல்,
சா,சால்புவழுதி,
சா,சால்புவாணன்,
சா,சால்புவேங்கை,
சா,சால்புவேந்தன்,
சா,சால்புவேலன்,
சா,சால்பூரன்,
சா,சால்பெழிலன்,
சா,சால்பெழிலோன்,
சா,சால்பேந்தி,
சா,சால்பையன்,
சா,சால்பொளி,
சா,சாவஞ்சான்,
சா,சாவிலான்,
