"தொடங்கும் எழுத்து",பெயர்,பொருள்
ம,மறநெஞ்சன்,
ம,மறநேயன்,
ம,மறப்போரன்,
ம,மறமகன்,
ம,மறமன்னன்,
ம,மறமலை,
ம,மறமல்லன்,
ம,மறமாண்பன்,
ம,மறமானன்,
ம,மறமார்பன்,
ம,மறமுத்தன்,
ம,மறமுத்து,
ம,மறம்,வீரம்
ம,மறவன்,
ம,மறவாகை,
ம,மறவாணன்,
ம,மறவாள்,
ம,மறவேங்கை,
ம,மறவேந்தன்,
ம,மறவேலன்,
ம,மறவேலோன்,
ம,மறவேள்,
ம,மறை,தமிழ்மறை
ம,மறைக்கடல்,
ம,மறைக்காடன்,
ம,மறைக்குரிசில்,
ம,மறைக்கோன்,
ம,மறைச்செம்மல்,
ம,மறைச்செல்வன்,
ம,மறைச்செழியன்,
ம,மறைச்சேய்,
ம,மறைச்சேரன்,
ம,மறைச்சோழன்,
ம,மறைத்தம்பி,
ம,மறைத்துணை,
ம,மறைத்துரை,
ம,மறைத்தேவன்,
ம,மறைநம்பி,
ம,மறைநாடன்,
ம,மறைநெஞ்சன்,
ம,மறைநேயன்,
ம,மறைப்புகழன்,
ம,மறைப்புலவன்,
ம,மறைமகன்,
ம,மறைமணி,
ம,மறைமன்னன்,
ம,மறைமறவன்,
ம,மறைமலை,
ம,மறைமலையான்,
ம,மறைமாறன்,
ம,மறைமுதல்வன்,
ம,மறைமுத்தன்,
ம,மறைமுத்து,
ம,மறையண்ணல்,
ம,மறையன்பன்,
ம,மறையப்பன்,
ம,மறையரசன்,
ம,மறையரசு,
ம,மறையறவோன்,
ம,மறையறிவன்,
ம,மறையாற்றல்,
ம,மறையாளன்,
ம,மறையினியன்,
ம,மறையின்பன்,
ம,மறையொளி,
ம,மறைவண்ணன்,
ம,மறைவளத்தன்,
ம,மறைவளவன்,
ம,மறைவழுதி,
ம,மறைவாணன்,
ம,மறைவேங்கை,
ம,மறைவேந்தன்,
ம,மறைவேலோன்,
ம,மறைவேல்,
ம,மலரவன்,
ம,மலரோன்,
ம,மலர்,பூ
ம,மலர்க்குன்றன்,
ம,மலர்க்குமரன்,
ம,மலர்ச்செம்மல்,
ம,மலர்ச்செழியன்,
ம,மலர்ச்சேய்,
ம,மலர்ச்சேரன்,
ம,மலர்ச்சோலை,
ம,மலர்ச்சோழன்,
ம,மலர்த்தம்பி,
ம,மலர்த்தாரான்,
ம,மலர்த்தேவன்,
ம,மலர்நம்பி,
ம,மலர்நாடன்,
ம,மலர்நிலவன்,
ம,மலர்நெஞ்சன்,
ம,மலர்நேயன்,
ம,மலர்ப்பொழிலன்,
ம,மலர்மணி,
ம,மலர்மதி,
ம,மலர்மன்னன்,
ம,மலர்மாண்பன்,
ம,மலர்மார்பன்,
ம,மலர்மாறன்,
ம,மலர்முகன்,
ம,மலர்முடியன்,
ம,மலர்முத்தன்,
ம,மலர்முத்து,
ம,மலர்முருகு,
ம,மலர்வண்ணன்,
ம,மலர்வளத்தன்,
ம,மலர்வளவன்,
ம,மலர்வாகை,
ம,மலர்வாணன்,
ம,மலர்வேந்தன்,
ம,மலை,
ம,மலைக்குமரன்,
ம,மலைக்குரிசில்,
ம,மலைக்கோ,
ம,மலைக்கோன்,
ம,மலைக்கோமான்,
ம,மலைக்கோவன்,
ம,மலைச்செல்வன்,
